C201,15,5,2,2,Optimal,253.71 ,258.07 ,258.07 ,0.00 ,0.19 ,1,0
C202,15,5,2,2,Optimal,237.24 ,255.11 ,255.11 ,0.00 ,5.05 ,1178,0
C203,15,5,2,2,Optimal,227.00 ,255.11 ,255.11 ,0.00 ,5.05 ,1117,0
C204,15,5,2,2,Optimal,218.78 ,236.95 ,236.95 ,0.00 ,7.40 ,1005,0
C205,15,5,2,2,Optimal,230.91 ,255.11 ,255.11 ,0.00 ,2.09 ,1810,0
C206,15,5,2,2,Optimal,226.74 ,251.76 ,251.76 ,0.00 ,3.73 ,1541,0
C207,15,5,2,2,Optimal,224.56 ,243.57 ,243.57 ,0.00 ,3.18 ,2343,2
C208,15,5,2,2,Optimal,222.36 ,248.87 ,248.87 ,0.00 ,3.34 ,1565,1
R201,15,5,2,2,Optimal,318.35 ,343.68 ,343.68 ,0.00 ,2.65 ,3083,197
R202,15,5,2,2,Optimal,280.83 ,309.25 ,309.25 ,0.00 ,6.09 ,2704,107
R203,15,5,2,2,Optimal,277.94 ,309.24 ,309.25 ,0.00 ,6.70 ,4531,169
R204,15,5,2,2,Optimal,261.70 ,280.76 ,280.76 ,0.00 ,3.28 ,2249,3
R205,15,5,2,2,Optimal,279.55 ,289.91 ,289.91 ,0.00 ,0.33 ,153,10
R206,15,5,2,2,Optimal,260.15 ,284.24 ,284.24 ,0.00 ,1.93 ,1671,5
R207,15,5,2,2,Optimal,261.12 ,284.24 ,284.24 ,0.00 ,2.20 ,1588,5
R208,15,5,2,2,Optimal,254.30 ,276.75 ,276.75 ,0.00 ,1.13 ,990,1
R209,15,5,2,2,Optimal,264.39 ,289.90 ,289.91 ,0.00 ,1.92 ,2052,62
R210,15,5,2,2,Optimal,284.42 ,296.36 ,296.36 ,0.00 ,1.16 ,598,11
R211,15,5,2,2,Optimal,253.33 ,276.75 ,276.75 ,0.00 ,2.54 ,2559,2
RC201,15,5,2,2,Optimal,306.21 ,343.11 ,343.13 ,0.00 ,2.01 ,1828,164
RC202,15,5,2,2,Optimal,290.56 ,328.13 ,328.13 ,0.00 ,4.93 ,2468,30
RC203,15,5,2,2,Optimal,287.95 ,328.13 ,328.13 ,0.00 ,4.78 ,2777,226
RC204,15,5,2,2,Optimal,275.29 ,321.67 ,321.68 ,0.00 ,1.00 ,688,9
RC205,15,5,2,2,Optimal,291.78 ,333.88 ,333.88 ,0.00 ,3.85 ,2095,194
RC206,15,5,2,2,Optimal,285.64 ,329.31 ,329.32 ,0.00 ,1.77 ,1490,215
RC207,15,5,2,2,Optimal,267.98 ,321.68 ,321.68 ,0.00 ,2.14 ,1907,101
RC208,15,5,2,2,Optimal,280.65 ,316.44 ,316.44 ,0.00 ,2.19 ,731,0
