C201,35,5,4,4,Optimal,546.81,605.78,605.81,0,1363.39,246119,25
C202,35,5,4,4,Feasible,483.28,507.23,541.65,6.36,7200.17,284668,4
C203,35,5,4,4,Feasible,473.7,488.07,513.85,5.02,7200.77,134116,2
C204,35,5,4,4,Feasible,474.33,485.55,506.78,4.19,7201.03,70672,1
C205,35,5,4,4,Feasible,498.68,551.72,590.75,6.61,7200.32,323021,36
C206,35,5,4,4,Feasible,483.68,531.4,558.4,4.84,7200.32,230967,4
C207,35,5,4,4,Feasible,518.92,539.74,556.63,3.03,7200.34,227390,0
C208,35,5,4,4,Feasible,480.28,515.63,531.99,3.07,7200.27,436270,6
R201,35,5,4,4,Feasible,616.35,662.9,711.83,6.87,7200.23,429869,83
R202,35,5,4,4,Feasible,548.38,575.84,616.34,6.57,7200.32,222869,53
R203,35,5,4,4,Feasible,487.53,506.76,568.43,10.85,7200.44,193165,140
R204,35,5,4,4,Feasible,474.92,490.99,505.31,2.83,7200.7,110593,1
R205,35,5,4,4,Feasible,526.82,543.4,602.53,9.81,7200.56,196290,424
R206,35,5,4,4,Feasible,503.46,526.06,567.59,7.32,7200.18,236930,12
R207,35,5,4,4,Feasible,481.83,505.53,509.75,0.83,7200.13,159267,5
R208,35,5,4,4,Feasible,470.54,484.14,507.48,4.6,7200.33,195480,0
R209,35,5,4,4,Feasible,488.78,510.71,542.58,5.87,7200.53,200516,14
R210,35,5,4,4,Feasible,506.65,534.8,560.27,4.55,7200.68,195176,26
R211,35,5,4,4,Feasible,462.77,475.09,498.55,4.71,7200.6,175331,242
RC201,35,5,4,4,Feasible,800.43,889.63,1008.21,11.76,7200.44,332770,228
RC202,35,5,4,4,Feasible,739.46,823.01,883.82,6.88,7200.61,151246,39
RC203,35,5,4,4,Feasible,718.53,737.83,809.33,8.83,7200.51,197112,41
RC204,35,5,4,4,Feasible,714.63,770.22,-,7.45,1322.3,30156,16
RC205,35,5,4,4,Feasible,756.64,823.37,901.81,8.7,7200.12,601224,317
RC206,35,5,4,4,Feasible,748.54,798.95,845.83,5.54,7200.19,285777,21
RC207,35,5,4,4,Feasible,713.12,776.48,805.28,3.58,7200.6,200890,237
RC208,35,5,4,4,Unknown,704.26,704.26,-,-,26.56,1,5
